Unnamed: 0,Player,Position,Age,90 mins played,Non Penalty xG,Non-penalty goals,Non-Penalty(xG-Goals),Expected Assists,Assists,xAG-Assists,npxGi-npGi,Non Penalty xG + Assisted Goals,xG/90,Expected Assisted Goals/90,Expected Goals+Assisted Goals/90,Non Penalty xG/90,Non Penalty xG+xAG/90
253,Rodrigo De Paul,MF,28.0,21.4,1.6,2,-0.4,5.6,7,-1.4,-1.8,7.2,0.07,0.26,0.34,0.07,0.34
254,Álvaro Morata,FW,29.0,21.1,11.8,13,-1.2,2.0,2,0.0,-1.2,13.8,0.56,0.09,0.65,0.56,0.65
255,Stefan Savić,DF,31.0,21.6,0.2,0,0.2,0.0,0,0.0,0.2,0.2,0.01,0.0,0.01,0.01,0.01
256,Reinildo Mandava,DF,28.0,20.6,0.4,0,0.4,0.5,0,0.5,0.9,0.9,0.02,0.03,0.04,0.02,0.04
257,Marcos Llorente,"MF,DF",27.0,18.9,2.1,1,1.1,3.8,2,1.8,2.9,6.0,0.11,0.2,0.32,0.11,0.32
258,Thomas Lemar,MF,26.0,13.9,0.9,1,-0.1,1.9,3,-1.1,-1.2,2.9,0.07,0.14,0.21,0.07,0.21
259,Ángel Correa,"FW,MF",27.0,16.2,7.2,9,-1.8,3.5,1,2.5,0.7,10.7,0.44,0.22,0.66,0.44,0.66
260,Saúl Ñíguez,"MF,DF",27.0,12.2,2.4,3,-0.6,0.7,1,-0.3,-0.9,3.1,0.2,0.05,0.25,0.2,0.25
261,Geoffrey Kondogbia,MF,29.0,11.2,0.7,0,0.7,0.9,2,-1.1,-0.4,1.6,0.07,0.08,0.14,0.07,0.14
262,Ivo Grbić,GK,26.0,10.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,João Félix,"FW,MF",22.0,7.2,2.8,4,-1.2,1.5,3,-1.5,-2.7,4.3,0.39,0.2,0.59,0.39,0.59
264,Pablo Barrios,MF,19.0,8.0,0.5,0,0.5,0.7,1,-0.3,0.2,1.2,0.07,0.08,0.15,0.07,0.15
265,Memphis,FW,28.0,3.0,3.0,4,-1.0,0.5,0,0.5,-0.5,3.5,1.0,0.16,1.16,1.0,1.16
266,Matheus Cunha,"FW,MF",23.0,4.2,1.4,0,1.4,0.8,2,-1.2,0.2,2.2,0.34,0.2,0.53,0.34,0.53
267,Sergio Reguilón,DF,25.0,3.4,0.2,0,0.2,0.4,0,0.4,0.6,0.6,0.07,0.11,0.18,0.07,0.18
268,Felipe,DF,33.0,2.2,0.0,0,0.0,0.0,0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03
269,Carlos Martín,"FW,MF",20.0,0.3,0.1,0,0.1,0.0,0,0.0,0.1,0.1,0.2,0.0,0.2,0.2,0.2
270,Matt Doherty,DF,30.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,Antonio Gomis,GK,19.0,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,David de Gea,GK,31.0,38.0,0.0,0,0.0,0.1,0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
273,Bruno Fernandes,"MF,FW",27.0,36.8,7.7,6,1.7,16.7,8,8.7,10.4,24.4,0.25,0.45,0.71,0.21,0.66
274,Marcus Rashford,FW,24.0,32.0,15.4,17,-1.6,3.4,5,-1.6,-3.2,18.8,0.48,0.11,0.59,0.48,0.59
275,Luke Shaw,DF,27.0,28.4,1.1,1,0.1,3.6,2,1.6,1.7,4.7,0.04,0.13,0.16,0.04,0.16
276,Christian Eriksen,MF,30.0,22.8,5.0,1,4.0,4.2,8,-3.8,0.2,9.2,0.22,0.19,0.4,0.22,0.4
277,Diogo Dalot,DF,23.0,23.9,2.5,1,1.5,1.9,2,-0.1,1.4,4.4,0.1,0.08,0.18,0.1,0.18
278,Casemiro,MF,30.0,23.6,3.4,4,-0.6,3.1,3,0.1,-0.5,6.5,0.14,0.13,0.28,0.14,0.28
279,Lisandro Martínez,DF,24.0,23.5,0.5,1,-0.5,0.3,0,0.3,-0.2,0.8,0.02,0.01,0.03,0.02,0.03
280,Antony,FW,22.0,20.0,6.6,4,2.6,2.9,2,0.9,3.5,9.4,0.33,0.14,0.47,0.33,0.47
281,Raphaël Varane,DF,29.0,21.2,0.7,0,0.7,0.2,0,0.2,0.9,0.9,0.03,0.01,0.04,0.03,0.04
282,Jadon Sancho,"FW,MF",22.0,18.7,4.2,6,-1.8,5.0,3,2.0,0.2,9.2,0.22,0.27,0.49,0.22,0.49
